angle,fps
84.399284,823.32043
84.49928,824.45605
84.59928,824.2957
84.69928,820.8192
84.79928,819.6022
84.89928,842.04895
84.999275,843.6066
85.09927,843.7176
85.19927,848.7108
85.29927,822.8249
85.39927,823.6497
85.49927,817.1932
85.599266,817.1205
85.699265,816.8434
85.79926,815.4974
85.89926,812.37976
85.99926,809.5413
86.09926,809.22986
86.19926,807.39075
86.299255,827.6581
86.399254,825.6865
86.49925,830.19934
86.59925,809.4233
86.69925,809.78864
86.79925,805.0575
86.89925,807.9929
86.999245,806.6561
87.09924,806.1967
87.19924,807.23895
87.29924,808.5772
87.39924,808.0488
87.49924,807.9404
87.599236,822.87695
87.699234,825.0885
87.79923,832.1883
87.89923,829.8058
87.99923,809.322
88.09923,804.24695
88.19923,805.9857
88.299225,806.99115
88.39922,809.18164
88.49922,811.28357
88.59922,814.27234
88.69922,813.6678
88.79922,811.272
88.899216,810.4488
88.999214,829.651
89.09921,833.2988
89.19921,827.26337
89.29921,803.53064
89.39921,799.5209
89.49921,801.86053
89.599205,799.96436
89.6992,798.37775
89.7992,797.08826
89.8992,798.0079
89.9992,802.1437
90.0992,803.8241
90.199196,803.99084
90.299194,824.81757
90.39919,826.0169
90.49919,822.22986
90.59919,825.85126
90.69919,802.8219
90.79919,806.99884
90.899185,805.5172
90.99918,799.0513
91.09918,798.93475
91.19918,799.7314
91.29918,800.45105
91.39918,802.70465
91.499176,803.015
91.599174,803.00085
91.69917,825.1293
91.79917,821.88367
91.89917,820.8861
91.99917,802.9969
92.09917,809.14905
92.199165,809.6636
92.299164,807.12085
92.39916,807.86035
92.49916,808.1243
92.59916,807.1251
92.69916,809.8605
92.79916,811.0897
92.899155,815.3849
92.99915,838.0565
93.09915,830.9375
93.19915,827.6496
93.29915,827.2718
93.39915,806.4746
93.499146,806.2938
93.599144,805.58875
93.69914,803.93146
93.79914,804.0286
93.89914,802.44055
93.99914,803.2351
94.09914,805.3254
94.199135,807.6918
94.29913,810.7221
94.39913,825.72723
94.49913,827.84717
94.59913,826.7291
94.69913,806.18976
94.799126,803.8925
94.899124,798.9848
94.99912,797.9149
